Interval=	0,001 s
ExcelDateTime=	4,5748444323126008e+004	01/04/2025 10:39:49,518087
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2
Range=	200,0 mV
255	6,147607
255,001	6,138244
255,002	6,128513
255,003	6,119138
255,004	6,109812
255,005	6,100521
255,006	6,091253
255,007	6,081998
255,008	6,072749
255,009	6,063494
255,01	6,054218
255,011	6,044616
255,012	6,035401
255,013	6,026262
255,014	6,017177
255,015	6,008132
255,016	5,999115
255,017	5,990118
255,018	5,981132
255,019	5,972147
255,02	5,962877
255,021	5,954007
255,022	5,94524
255,023	5,936554
255,024	5,927934
255,025	5,919374
255,026	5,91087
255,027	5,902418
255,028	5,894014
255,029	5,885398
255,03	5,877209
255,031	5,869163
255,032	5,861237
255,033	5,853414
255,034	5,845682
255,035	5,838034
255,036	5,830466
255,037	5,822975
255,038	5,815325
255,039	5,808084
255,04	5,800991
255,041	5,794019
255,042	5,787147
255,043	5,780366
255,044	5,773672
255,045	5,767066
255,046	5,760554
255,047	5,753946
255,048	5,747729
255,049	5,741682
255,05	5,735783
255,051	5,730017
255,052	5,72438
255,053	5,718871
255,054	5,713499
255,055	5,708273
255,056	5,70305
255,057	5,698214
255,058	5,693581
255,059	5,689126
255,06	5,684829
255,061	5,680679
255,062	5,676674
255,063	5,672817
255,064	5,669117
255,065	5,665476
255,066	5,662159
255,067	5,659026
255,068	5,65605
255,069	5,653214
255,07	5,650509
255,071	5,647939
255,072	5,645515
255,073	5,643256
255,074	5,641125
255,075	5,639275
255,076	5,637621
255,077	5,636148
255,078	5,634844
255,079	5,633706
255,08	5,632743
255,081	5,631971
255,082	5,631411
255,083	5,631082
255,084	5,631001
255,085	5,631134
255,086	5,631463
255,087	5,631969
255,088	5,632647
255,089	5,633497
255,09	5,634533
255,091	5,635772
255,092	5,637286
255,093	5,638955
255,094	5,640802
255,095	5,642807
255,096	5,644958
255,097	5,647252
255,098	5,649699
255,099	5,652317
255,1	5,655135
255,101	5,658287
255,102	5,66153
255,103	5,66495
255,104	5,668539
255,105	5,672292
255,106	5,67621
255,107	5,680307
255,108	5,684603
255,109	5,689125
255,11	5,694056
255,111	5,699025
255,112	5,704166
255,113	5,709469
255,114	5,714925
255,115	5,72053
255,116	5,726293
255,117	5,732229
255,118	5,738363
255,119	5,744921
255,12	5,751415
255,121	5,75803
255,122	5,76476
255,123	5,771603
255,124	5,778559
255,125	5,785643
255,126	5,792875
255,127	5,800284
255,128	5,808143
255,129	5,815868
255,13	5,823698
255,131	5,831634
255,132	5,839679
255,133	5,847839
255,134	5,856127
255,135	5,864561
255,136	5,873168
255,137	5,882245
255,138	5,891126
255,139	5,90008
255,14	5,909108
255,141	5,918212
255,142	5,927396
255,143	5,936668
255,144	5,946043
255,145	5,955544
255,146	5,965491
255,147	5,975154
255,148	5,984836
255,149	5,994546
255,15	6,00429
255,151	6,014077
255,152	6,023917
255,153	6,033828
255,154	6,043833
255,155	6,054264
255,156	6,064359
255,157	6,074441
255,158	6,084526
255,159	6,094622
255,16	6,104741
255,161	6,114889
255,162	6,125079
255,163	6,135327
255,164	6,145961
255,165	6,156205
255,166	6,166389
255,167	6,176529
255,168	6,186636
255,169	6,196717
255,17	6,206783
255,171	6,216841
255,172	6,226905
255,173	6,237297
255,174	6,247255
255,175	6,257113
255,176	6,266891
255,177	6,276609
255,178	6,286277
255,179	6,295903
255,18	6,305496
255,181	6,315064
255,182	6,324908
255,183	6,334305
255,184	6,343573
255,185	6,352737
255,186	6,361811
255,187	6,370806
255,188	6,379725
255,189	6,388572
255,19	6,397346
255,191	6,406318
255,192	6,414822
255,193	6,423153
255,194	6,431336
255,195	6,439392
255,196	6,447331
255,197	6,455159
255,198	6,462877
255,199	6,470489
255,2	6,478231
255,201	6,48552
255,202	6,492627
255,203	6,499582
255,204	6,506406
255,205	6,513113
255,206	6,519708
255,207	6,52619
255,208	6,532555
255,209	6,538998
255,21	6,545024
255,211	6,550861
255,212	6,556536
255,213	6,562067
255,214	6,567461
255,215	6,57272
255,216	6,577837
255,217	6,582803
255,218	6,587769
255,219	6,592336
255,22	6,596696
255,221	6,600873
255,222	6,604888
255,223	6,608752
255,224	6,612469
255,225	6,616035
255,226	6,619446
255,227	6,622812
255,228	6,625846
255,229	6,628698
255,23	6,631393
255,231	6,633955
255,232	6,636392
255,233	6,638708
255,234	6,640899
255,235	6,642954
255,236	6,644939
255,237	6,646664
255,238	6,648226
255,239	6,649648
255,24	6,650942
255,241	6,652114
255,242	6,653162
255,243	6,654077
255,244	6,654849
255,245	6,655505
